#Fichier contenant sur chaque ligne : Latitude en degré, Longitude en degré, Altitude en mètre, Temps en secondes, Cap en degré
43.11082376339043,5.950263392766728,195.0,195.0,109.86071428571428
43.11081192378789,5.9498146772893685,200.0,200.0,109.85714285714286
43.110770922207436,5.949369195293439,205.0,205.0,109.85357142857143
43.11070108523594,5.948930495775501,210.0,210.0,109.85
43.1106029691422,5.948502073698524,215.0,215.0,109.84642857142858
43.11047735544848,5.948087342148762,220.0,220.0,109.84285714285714
43.11032524470859,5.947689605144909,225.0,225.0,109.83928571428571
43.11014784854215,5.947312031316158,230.0,230.0,109.83571428571429
43.10994657998817,5.946957628658865,235.0,235.0,109.83214285714286
43.1097230422546,5.946629220572901,240.0,240.0,109.82857142857142
43.10947901595343,5.946329423368639,245.0,245.0,109.825
43.10921644492259,5.946060625423739,250.0,250.0,109.82142857142857
43.10893742074745,5.9458249681557875,255.0,255.0,109.81785714285714
43.10864416610511,5.945624328962391,260.0,260.0,109.81428571428572
43.10833901706374,5.945460306264616,265.0,265.0,109.81071428571428
43.1080244044779,5.945334206772937,270.0,270.0,109.80714285714286
43.107702834627894,5.945247035077139,275.0,275.0,109.80357142857143
43.107376869257095,5.945199485643101,280.0,280.0,109.8
43.10704910516633,5.945191937280253,285.0,285.0,109.79642857142858
43.106722153527606,5.94522445012371,290.0,290.0,109.79285714285714
43.10639861908212,5.945296765155222,295.0,295.0,109.78928571428571
43.10608107938816,5.945408306266658,300.0,300.0,109.78571428571429
43.10577206428417,5.945558184849672,305.0,305.0,109.78214285714286
43.1054740357309,5.945745206874919,310.0,310.0,109.77857142857142
43.10518936819316,5.945967882404467,315.0,315.0,109.775
43.10492032971763,5.946224437461601,320.0,320.0,109.77142857142857
43.10466906385775,5.9465128281634625,325.0,325.0,109.76785714285714
43.104437572589795,5.946830757003941,330.0,330.0,109.76428571428572
43.1042277003565,5.947175691157082,335.0,335.0,109.76071428571429
43.10404111936562,5.947544882655216,340.0,340.0,109.75714285714285
43.103879316260695,5.947935390281038,345.0,345.0,109.75357142857143
43.103743580270546,5.948344102999234,350.0,350.0,109.75
43.10363499293203,5.948767764741,355.0,355.0,109.74642857142857
43.10355441946821,5.949203000343977,360.0,360.0,109.74285714285715
43.10350250189079,5.9496463424409765,365.0,365.0,109.73928571428571
43.103479653881855,5.95009425908325,370.0,370.0,109.73571428571428
43.10348605749594,5.950543181878281,375.0,375.0,109.73214285714286
43.103521661708584,5.950989534417887,380.0,380.0,109.72857142857143
43.10358618282313,5.951429760770197,385.0,385.0,109.725
43.10367910673243,5.951860353808498,390.0,390.0,109.72142857142858
43.10379969301744,5.9522778831512575,395.0,395.0,109.71785714285714
43.103946980849976,5.95267902249076,400.0,400.0,109.71428571428571
43.10411979665224,5.953060576092613,405.0,405.0,109.71071428571429
43.104316763452445,5.953419504255028,410.0,410.0,109.70714285714286
43.10453631186124,5.953752947525042,415.0,415.0,109.70357142857142
43.1047766925816,5.954058249478763,420.0,420.0,109.7
43.10503599035237,5.954332977884152,425.0,425.0,109.69642857142857
43.10531213921379,5.954574944077752,430.0,430.0,109.69285714285714
43.10560293897352,5.9547822204009915,435.0,435.0,109.68928571428572
43.105906072741554,5.954953155557152,440.0,440.0,109.68571428571428
43.106219125394155,5.955086387766663,445.0,445.0,109.68214285714286
43.106539602819474,5.9551808556159145,450.0,450.0,109.67857142857143
43.10686495179159,5.955235806513165,455.0,455.0,109.675
43.1071925803141,5.955250802684167,460.0,460.0,109.67142857142858
43.107519878271496,5.955225724659761,465.0,465.0,109.66785714285714
43.107844238223514,5.9551607722276465,470.0,470.0,109.66428571428571
43.108163076176886,5.955056462840739,475.0,475.0,109.66071428571429
43.10847385216889,5.95491362749481,480.0,480.0,109.65714285714286
43.10877409049902,5.95473340410824,485.0,485.0,109.65357142857142
43.10906139944752,5.954517228456626,490.0,490.0,109.65
